test	category	issue	expected_result	expected_message	reason
generic/271	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/272	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/276	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/277	known_unsupported	#255	NOTRUN	file system doesn't support chattr +A	SwordFS VfsImpl::Ioctl returns NotSupported for the required filesystem ioctl capability; tracked by #255.
generic/278	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/279	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/281	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/282	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/283	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/284	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/286	known_unsupported	#255	NOTRUN	xfs_io falloc failed (old kernel/wrong fs?)	SwordFS VfsImpl::Fallocate returns NotSupported for this allocation mode; tracked by #255.
generic/287	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/288	known_unsupported	#255	NOTRUN	FITRIM not supported on <FSTESTS_WORK_DIR>/scratch	SwordFS VfsImpl::Ioctl returns NotSupported for the required filesystem ioctl capability; tracked by #255.
generic/289	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/290	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/291	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/292	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/293	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/294	upstream_not_applicable	-	FAIL	check: possible mount failures (see <FSTESTS_RESULT_DIR>/generic/294.mountfail)	The testcase requires remounting a FUSE scratch mount read-only with local-filesystem mount semantics.
generic/295	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/296	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/301	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/302	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/303	upstream_not_applicable	-	NOTRUN	Reflink not supported by test filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/304	upstream_not_applicable	-	NOTRUN	Dedupe not supported by test filesystem type: fuse	Pinned fstests classifies dedupe as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/305	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/306	upstream_not_applicable	-	FAIL	check: possible mount failures (see <FSTESTS_RESULT_DIR>/generic/306.mountfail)	The testcase requires remounting a FUSE scratch mount read-only with local-filesystem mount semantics.
generic/307	known_unsupported	#255	NOTRUN	ACLs not supported by this filesystem type: fuse	SwordFS xattr operations return NotSupported, which also prevents ACL/xattr prerequisites; tracked by #255.
generic/312	known_unsupported	#255	NOTRUN	xfs_io falloc failed (old kernel/wrong fs?)	SwordFS VfsImpl::Fallocate returns NotSupported for this allocation mode; tracked by #255.
generic/315	known_unsupported	#255	NOTRUN	xfs_io falloc -k failed (old kernel/wrong fs?)	SwordFS VfsImpl::Fallocate returns NotSupported for this allocation mode; tracked by #255.
generic/316	known_unsupported	#255	NOTRUN	xfs_io fpunch failed (old kernel/wrong fs?)	SwordFS VfsImpl::Fallocate returns NotSupported for this allocation mode; tracked by #255.
generic/318	known_unsupported	#255	NOTRUN	ACLs not supported by this filesystem type: fuse	SwordFS xattr operations return NotSupported, which also prevents ACL/xattr prerequisites; tracked by #255.
generic/319	known_unsupported	#255	NOTRUN	ACLs not supported by this filesystem type: fuse	SwordFS xattr operations return NotSupported, which also prevents ACL/xattr prerequisites; tracked by #255.
generic/321	upstream_not_applicable	-	NOTRUN	require <FSTESTS_WORK_DIR>/scratch to be valid block disk	The testcase requires local block-device geometry or a block device, which a SwordFS FUSE volume does not expose.
generic/322	upstream_not_applicable	-	NOTRUN	require <FSTESTS_WORK_DIR>/scratch to be valid block disk	The testcase requires local block-device geometry or a block device, which a SwordFS FUSE volume does not expose.
generic/324	upstream_not_applicable	-	NOTRUN	defragmentation not supported for fstype "fuse"	Pinned fstests excludes filesystem defragmentation for FUSE.
generic/325	upstream_not_applicable	-	NOTRUN	require <FSTESTS_WORK_DIR>/scratch to be valid block disk	The testcase requires local block-device geometry or a block device, which a SwordFS FUSE volume does not expose.
generic/326	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/327	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/328	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/329	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/330	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/331	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/332	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/335	upstream_not_applicable	-	NOTRUN	require <FSTESTS_WORK_DIR>/scratch to be valid block disk	The testcase requires local block-device geometry or a block device, which a SwordFS FUSE volume does not expose.
generic/336	upstream_not_applicable	-	NOTRUN	require <FSTESTS_WORK_DIR>/scratch to be valid block disk	The testcase requires local block-device geometry or a block device, which a SwordFS FUSE volume does not expose.
generic/337	known_unsupported	#255	NOTRUN	attr namespace user not supported by this filesystem type: fuse	SwordFS xattr operations return NotSupported, which also prevents ACL/xattr prerequisites; tracked by #255.
generic/338	upstream_not_applicable	-	NOTRUN	require <FSTESTS_WORK_DIR>/scratch to be valid block disk	The testcase requires local block-device geometry or a block device, which a SwordFS FUSE volume does not expose.
generic/341	upstream_not_applicable	-	NOTRUN	require <FSTESTS_WORK_DIR>/scratch to be valid block disk	The testcase requires local block-device geometry or a block device, which a SwordFS FUSE volume does not expose.
generic/342	upstream_not_applicable	-	NOTRUN	require <FSTESTS_WORK_DIR>/scratch to be valid block disk	The testcase requires local block-device geometry or a block device, which a SwordFS FUSE volume does not expose.
generic/343	upstream_not_applicable	-	NOTRUN	require <FSTESTS_WORK_DIR>/scratch to be valid block disk	The testcase requires local block-device geometry or a block device, which a SwordFS FUSE volume does not expose.
generic/347	known_unsupported	#255	NOTRUN	xfs_io falloc failed (old kernel/wrong fs?)	SwordFS VfsImpl::Fallocate returns NotSupported for this allocation mode; tracked by #255.
generic/348	upstream_not_applicable	-	NOTRUN	require <FSTESTS_WORK_DIR>/scratch to be valid block disk	The testcase requires local block-device geometry or a block device, which a SwordFS FUSE volume does not expose.
generic/353	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/356	upstream_not_applicable	-	NOTRUN	swapfiles are not supported	Swapfile semantics are not applicable to the SwordFS FUSE/distributed storage model.
generic/357	upstream_not_applicable	-	NOTRUN	swapfiles are not supported	Swapfile semantics are not applicable to the SwordFS FUSE/distributed storage model.
generic/358	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/359	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/361	upstream_not_applicable	-	NOTRUN	require <FSTESTS_WORK_DIR>/scratch to be valid block disk	The testcase requires local block-device geometry or a block device, which a SwordFS FUSE volume does not expose.
generic/366	upstream_not_applicable	-	NOTRUN	512 byte dio alignment required	The testcase depends on a local-filesystem/FUSE capability that pinned fstests marks as not applicable to this SwordFS FUSE test model.
generic/367	known_unsupported	#255	NOTRUN	this test requires extsize support on the filesystem	SwordFS VfsImpl::Ioctl returns NotSupported for the required filesystem ioctl capability; tracked by #255.
generic/368	upstream_not_applicable	-	NOTRUN	filesystem doesn't support -o inlinecrypt	The testcase requires local-filesystem encryption/inlinecrypt semantics that pinned fstests does not support for FUSE.
generic/369	upstream_not_applicable	-	NOTRUN	filesystem doesn't support -o inlinecrypt	The testcase requires local-filesystem encryption/inlinecrypt semantics that pinned fstests does not support for FUSE.
generic/370	upstream_not_applicable	-	NOTRUN	swapfiles are not supported	Swapfile semantics are not applicable to the SwordFS FUSE/distributed storage model.
generic/371	known_unsupported	#255	NOTRUN	xfs_io falloc failed (old kernel/wrong fs?)	SwordFS VfsImpl::Fallocate returns NotSupported for this allocation mode; tracked by #255.
generic/372	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/373	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/374	upstream_not_applicable	-	NOTRUN	Dedupe not supported by scratch filesystem type: fuse	Pinned fstests classifies dedupe as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/375	known_unsupported	#255	NOTRUN	ACLs not supported by this filesystem type: fuse	SwordFS xattr operations return NotSupported, which also prevents ACL/xattr prerequisites; tracked by #255.
generic/376	upstream_not_applicable	-	NOTRUN	require <FSTESTS_WORK_DIR>/scratch to be valid block disk	The testcase requires local block-device geometry or a block device, which a SwordFS FUSE volume does not expose.
generic/377	known_unsupported	#255	NOTRUN	attr namespace user not supported by this filesystem type: fuse	SwordFS xattr operations return NotSupported, which also prevents ACL/xattr prerequisites; tracked by #255.
generic/379	upstream_not_applicable	-	NOTRUN	disk quotas not supported by this filesystem type: fuse	Pinned fstests classifies disk quota testing as unsupported for filesystem type fuse.
generic/380	upstream_not_applicable	-	NOTRUN	disk quotas not supported by this filesystem type: fuse	Pinned fstests classifies disk quota testing as unsupported for filesystem type fuse.
generic/381	upstream_not_applicable	-	NOTRUN	disk quotas not supported by this filesystem type: fuse	Pinned fstests classifies disk quota testing as unsupported for filesystem type fuse.
generic/382	upstream_not_applicable	-	NOTRUN	disk quotas not supported by this filesystem type: fuse	Pinned fstests classifies disk quota testing as unsupported for filesystem type fuse.
generic/383	upstream_not_applicable	-	NOTRUN	disk quotas not supported by this filesystem type: fuse	Pinned fstests classifies disk quota testing as unsupported for filesystem type fuse.
generic/384	upstream_not_applicable	-	NOTRUN	disk quotas not supported by this filesystem type: fuse	Pinned fstests classifies disk quota testing as unsupported for filesystem type fuse.
generic/385	upstream_not_applicable	-	NOTRUN	disk quotas not supported by this filesystem type: fuse	Pinned fstests classifies disk quota testing as unsupported for filesystem type fuse.
generic/386	upstream_not_applicable	-	NOTRUN	disk quotas not supported by this filesystem type: fuse	Pinned fstests classifies disk quota testing as unsupported for filesystem type fuse.
generic/389	known_unsupported	#255	NOTRUN	O_TMPFILE is not supported	SwordFS VfsImpl::TmpFile returns NotSupported; tracked by #255.
generic/391	known_unsupported	#255	NOTRUN	xfs_io falloc failed (old kernel/wrong fs?)	SwordFS VfsImpl::Fallocate returns NotSupported for this allocation mode; tracked by #255.
generic/392	upstream_not_applicable	-	NOTRUN	fuse does not support shutdown	Pinned fstests excludes this local-filesystem shutdown/freeze operation for FUSE.
generic/394	environment	-	FAIL	[dumped core]	Upstream intentionally triggers SIGXFSZ under RLIMIT_FSIZE; the hosted systemd-coredump environment reports the xfs_io helper termination as a dumped-core failure although SwordFS remains healthy.
generic/395	upstream_not_applicable	-	NOTRUN	No encryption support for fuse	The testcase requires local-filesystem encryption/inlinecrypt semantics that pinned fstests does not support for FUSE.
generic/396	upstream_not_applicable	-	NOTRUN	No encryption support for fuse	The testcase requires local-filesystem encryption/inlinecrypt semantics that pinned fstests does not support for FUSE.
generic/397	upstream_not_applicable	-	NOTRUN	No encryption support for fuse	The testcase requires local-filesystem encryption/inlinecrypt semantics that pinned fstests does not support for FUSE.
generic/398	upstream_not_applicable	-	NOTRUN	No encryption support for fuse	The testcase requires local-filesystem encryption/inlinecrypt semantics that pinned fstests does not support for FUSE.
generic/400	upstream_not_applicable	-	NOTRUN	disk quotas not supported by this filesystem type: fuse	Pinned fstests classifies disk quota testing as unsupported for filesystem type fuse.
generic/402	upstream_not_applicable	-	NOTRUN	filesystem fuse timestamp bounds are unknown	Pinned fstests has no timestamp-range model for filesystem type fuse.
generic/403	known_unsupported	#255	NOTRUN	attr namespace trusted not supported by this filesystem type: fuse	SwordFS xattr operations return NotSupported, which also prevents ACL/xattr prerequisites; tracked by #255.
generic/404	known_unsupported	#255	NOTRUN	xfs_io falloc failed (old kernel/wrong fs?)	SwordFS VfsImpl::Fallocate returns NotSupported for this allocation mode; tracked by #255.
generic/407	upstream_not_applicable	-	NOTRUN	Reflink not supported by test filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/408	upstream_not_applicable	-	NOTRUN	Dedupe not supported by test filesystem type: fuse	Pinned fstests classifies dedupe as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/409	upstream_not_applicable	-	NOTRUN	require <FSTESTS_WORK_DIR>/scratch to be local device	The testcase requires local block-device geometry or a block device, which a SwordFS FUSE volume does not expose.
generic/410	upstream_not_applicable	-	NOTRUN	require <FSTESTS_WORK_DIR>/scratch to be local device	The testcase requires local block-device geometry or a block device, which a SwordFS FUSE volume does not expose.
generic/411	upstream_not_applicable	-	NOTRUN	require <FSTESTS_WORK_DIR>/scratch to be local device	The testcase requires local block-device geometry or a block device, which a SwordFS FUSE volume does not expose.
generic/413	upstream_not_applicable	-	NOTRUN	mount <FSTESTS_WORK_DIR>/scratch with dax failed	DAX is a local persistent-memory/block-filesystem mount feature and is not applicable to SwordFS FUSE.
generic/414	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/417	upstream_not_applicable	-	NOTRUN	fuse does not support shutdown	Pinned fstests excludes this local-filesystem shutdown/freeze operation for FUSE.
generic/419	upstream_not_applicable	-	NOTRUN	No encryption support for fuse	The testcase requires local-filesystem encryption/inlinecrypt semantics that pinned fstests does not support for FUSE.
generic/420	known_unsupported	#255	NOTRUN	xfs_io fpunch failed (old kernel/wrong fs?)	SwordFS VfsImpl::Fallocate returns NotSupported for this allocation mode; tracked by #255.
generic/421	upstream_not_applicable	-	NOTRUN	No encryption support for fuse	The testcase requires local-filesystem encryption/inlinecrypt semantics that pinned fstests does not support for FUSE.
generic/422	known_unsupported	#255	NOTRUN	xfs_io falloc -k failed (old kernel/wrong fs?)	SwordFS VfsImpl::Fallocate returns NotSupported for this allocation mode; tracked by #255.
generic/424	known_unsupported	#255	NOTRUN	file system doesn't support any of /usr/bin/chattr +a/+c/+d/+i	SwordFS VfsImpl::Ioctl returns NotSupported for the required filesystem ioctl capability; tracked by #255.
generic/425	known_unsupported	#255	NOTRUN	attr namespace user not supported by this filesystem type: fuse	SwordFS xattr operations return NotSupported, which also prevents ACL/xattr prerequisites; tracked by #255.
generic/426	known_unsupported	#255	FAIL	- output mismatch (see <FSTESTS_RESULT_DIR>/generic/426.out.bad)	SwordFS does not enable FUSE export/open-by-handle support; tracked by #255.
generic/427	upstream_not_applicable	-	NOTRUN	Filesystem fuse not supported in _scratch_mkfs_sized	The testcase requires sizing/formatting a local scratch filesystem, which is not applicable to FUSE.
generic/434	known_unsupported	#255	FAIL	- output mismatch (see <FSTESTS_RESULT_DIR>/generic/434.out.bad)	SwordFS copy_file_range hook returns ENOSYS; tracked by #255.
generic/436	known_unsupported	#255	NOTRUN	xfs_io falloc failed (old kernel/wrong fs?)	SwordFS VfsImpl::Fallocate returns NotSupported for this allocation mode; tracked by #255.
generic/439	known_unsupported	#255	NOTRUN	xfs_io fpunch failed (old kernel/wrong fs?)	SwordFS VfsImpl::Fallocate returns NotSupported for this allocation mode; tracked by #255.
generic/440	upstream_not_applicable	-	NOTRUN	No encryption support for fuse	The testcase requires local-filesystem encryption/inlinecrypt semantics that pinned fstests does not support for FUSE.
generic/441	upstream_not_applicable	-	NOTRUN	require <FSTESTS_WORK_DIR>/scratch to be valid block disk	The testcase requires local block-device geometry or a block device, which a SwordFS FUSE volume does not expose.
generic/444	known_unsupported	#255	NOTRUN	ACLs not supported by this filesystem type: fuse	SwordFS xattr operations return NotSupported, which also prevents ACL/xattr prerequisites; tracked by #255.
generic/445	known_unsupported	#255	NOTRUN	xfs_io falloc failed (old kernel/wrong fs?)	SwordFS VfsImpl::Fallocate returns NotSupported for this allocation mode; tracked by #255.
generic/446	known_unsupported	#255	NOTRUN	xfs_io fpunch failed (old kernel/wrong fs?)	SwordFS VfsImpl::Fallocate returns NotSupported for this allocation mode; tracked by #255.
generic/449	known_unsupported	#255	NOTRUN	ACLs not supported by this filesystem type: fuse	SwordFS xattr operations return NotSupported, which also prevents ACL/xattr prerequisites; tracked by #255.
generic/450	upstream_not_applicable	-	NOTRUN	Only test on sector size < half of block size	The testcase requires local block-device geometry or a block device, which a SwordFS FUSE volume does not expose.
generic/452	upstream_not_applicable	-	FAIL	check: possible mount failures (see <FSTESTS_RESULT_DIR>/generic/452.mountfail)	The testcase requires remounting a FUSE scratch mount read-only with local-filesystem mount semantics.
generic/453	upstream_not_applicable	-	NOTRUN	fuse does not allow unrestricted byte streams for names	The testcase requires filename byte-stream behavior excluded by the FUSE protocol/model.
generic/454	known_unsupported	#255	NOTRUN	attr namespace user not supported by this filesystem type: fuse	SwordFS xattr operations return NotSupported, which also prevents ACL/xattr prerequisites; tracked by #255.
generic/456	known_unsupported	#255	NOTRUN	xfs_io falloc failed (old kernel/wrong fs?)	SwordFS VfsImpl::Fallocate returns NotSupported for this allocation mode; tracked by #255.
generic/458	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/462	upstream_not_applicable	-	NOTRUN	mount <FSTESTS_WORK_DIR>/scratch with dax failed	DAX is a local persistent-memory/block-filesystem mount feature and is not applicable to SwordFS FUSE.
generic/463	upstream_not_applicable	-	NOTRUN	Reflink not supported by test filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/466	upstream_not_applicable	-	NOTRUN	require <FSTESTS_WORK_DIR>/scratch to be valid block disk	The testcase requires local block-device geometry or a block device, which a SwordFS FUSE volume does not expose.
generic/467	known_unsupported	#255	FAIL	- output mismatch (see <FSTESTS_RESULT_DIR>/generic/467.out.bad)	SwordFS does not enable FUSE export/open-by-handle support; tracked by #255.
generic/468	upstream_not_applicable	-	NOTRUN	fuse does not support shutdown	Pinned fstests excludes this local-filesystem shutdown/freeze operation for FUSE.
generic/469	known_unsupported	#255	NOTRUN	xfs_io falloc -k failed (old kernel/wrong fs?)	SwordFS VfsImpl::Fallocate returns NotSupported for this allocation mode; tracked by #255.
generic/470	environment	-	NOTRUN	This test requires a valid $LOGWRITES_DEV	The hosted CI environment does not provision the extra log-writes/log device required by this testcase.
generic/472	upstream_not_applicable	-	NOTRUN	swapfiles are not supported	Swapfile semantics are not applicable to the SwordFS FUSE/distributed storage model.
generic/474	upstream_not_applicable	-	NOTRUN	fuse does not support shutdown	Pinned fstests excludes this local-filesystem shutdown/freeze operation for FUSE.
generic/477	known_unsupported	#255	FAIL	- output mismatch (see <FSTESTS_RESULT_DIR>/generic/477.out.bad)	SwordFS does not enable FUSE export/open-by-handle support; tracked by #255.
generic/478	known_unsupported	#255	FAIL	- output mismatch (see <FSTESTS_RESULT_DIR>/generic/478.out.bad)	SwordFS POSIX/OFD setlk/getlk FUSE hooks return ENOSYS; tracked by #255.
generic/479	upstream_not_applicable	-	NOTRUN	require <FSTESTS_WORK_DIR>/scratch to be valid block disk	The testcase requires local block-device geometry or a block device, which a SwordFS FUSE volume does not expose.
generic/480	upstream_not_applicable	-	NOTRUN	require <FSTESTS_WORK_DIR>/scratch to be valid block disk	The testcase requires local block-device geometry or a block device, which a SwordFS FUSE volume does not expose.
generic/481	upstream_not_applicable	-	NOTRUN	require <FSTESTS_WORK_DIR>/scratch to be valid block disk	The testcase requires local block-device geometry or a block device, which a SwordFS FUSE volume does not expose.
generic/483	upstream_not_applicable	-	NOTRUN	require <FSTESTS_WORK_DIR>/scratch to be valid block disk	The testcase requires local block-device geometry or a block device, which a SwordFS FUSE volume does not expose.
generic/484	upstream_not_applicable	-	NOTRUN	require <FSTESTS_WORK_DIR>/scratch to be valid block disk	The testcase requires local block-device geometry or a block device, which a SwordFS FUSE volume does not expose.
generic/485	known_unsupported	#255	NOTRUN	xfs_io falloc -k failed (old kernel/wrong fs?)	SwordFS VfsImpl::Fallocate returns NotSupported for this allocation mode; tracked by #255.
generic/486	known_unsupported	#255	NOTRUN	attr namespace user not supported by this filesystem type: fuse	SwordFS xattr operations return NotSupported, which also prevents ACL/xattr prerequisites; tracked by #255.
generic/487	environment	-	NOTRUN	This test requires a valid $SCRATCH_LOGDEV	The hosted CI environment does not provision the extra log-writes/log device required by this testcase.
generic/488	upstream_not_applicable	-	NOTRUN	Filesystem fuse not supported in _scratch_mkfs_sized	The testcase requires sizing/formatting a local scratch filesystem, which is not applicable to FUSE.
generic/489	upstream_not_applicable	-	NOTRUN	require <FSTESTS_WORK_DIR>/scratch to be valid block disk	The testcase requires local block-device geometry or a block device, which a SwordFS FUSE volume does not expose.
generic/491	upstream_not_applicable	-	NOTRUN	fuse does not support freezing	Pinned fstests excludes this local-filesystem shutdown/freeze operation for FUSE.
generic/492	known_unsupported	#255	NOTRUN	xfs_io label failed (old kernel/wrong fs?)	SwordFS VfsImpl::Ioctl returns NotSupported for the required filesystem ioctl capability; tracked by #255.
generic/493	upstream_not_applicable	-	NOTRUN	swapfiles are not supported	Swapfile semantics are not applicable to the SwordFS FUSE/distributed storage model.
generic/494	upstream_not_applicable	-	NOTRUN	swapfiles are not supported	Swapfile semantics are not applicable to the SwordFS FUSE/distributed storage model.
generic/495	upstream_not_applicable	-	NOTRUN	swapfiles are not supported	Swapfile semantics are not applicable to the SwordFS FUSE/distributed storage model.
generic/496	upstream_not_applicable	-	NOTRUN	swapfiles are not supported	Swapfile semantics are not applicable to the SwordFS FUSE/distributed storage model.
generic/497	upstream_not_applicable	-	NOTRUN	swapfiles are not supported	Swapfile semantics are not applicable to the SwordFS FUSE/distributed storage model.
generic/498	upstream_not_applicable	-	NOTRUN	require <FSTESTS_WORK_DIR>/scratch to be valid block disk	The testcase requires local block-device geometry or a block device, which a SwordFS FUSE volume does not expose.
generic/499	known_unsupported	#255	NOTRUN	xfs_io falloc -k failed (old kernel/wrong fs?)	SwordFS VfsImpl::Fallocate returns NotSupported for this allocation mode; tracked by #255.
generic/501	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/502	upstream_not_applicable	-	NOTRUN	require <FSTESTS_WORK_DIR>/scratch to be valid block disk	The testcase requires local block-device geometry or a block device, which a SwordFS FUSE volume does not expose.
generic/503	known_unsupported	#255	NOTRUN	xfs_io falloc failed (old kernel/wrong fs?)	SwordFS VfsImpl::Fallocate returns NotSupported for this allocation mode; tracked by #255.
generic/504	known_unsupported	#255	FAIL	- output mismatch (see <FSTESTS_RESULT_DIR>/generic/504.out.bad)	SwordFS VfsImpl::Flock returns NotSupported; tracked by #255.
generic/505	upstream_not_applicable	-	NOTRUN	fuse does not support shutdown	Pinned fstests excludes this local-filesystem shutdown/freeze operation for FUSE.
generic/506	upstream_not_applicable	-	NOTRUN	disk quotas not supported by this filesystem type: fuse	Pinned fstests classifies disk quota testing as unsupported for filesystem type fuse.
generic/507	known_unsupported	#255	NOTRUN	file system doesn't support chattr +ASai	SwordFS VfsImpl::Ioctl returns NotSupported for the required filesystem ioctl capability; tracked by #255.
generic/508	known_unsupported	#255	NOTRUN	lsattr not supported by test filesystem type: fuse	SwordFS VfsImpl::Ioctl returns NotSupported for the required filesystem ioctl capability; tracked by #255.
generic/509	known_unsupported	#255	NOTRUN	O_TMPFILE is not supported	SwordFS VfsImpl::TmpFile returns NotSupported; tracked by #255.
generic/510	upstream_not_applicable	-	NOTRUN	require <FSTESTS_WORK_DIR>/scratch to be valid block disk	The testcase requires local block-device geometry or a block device, which a SwordFS FUSE volume does not expose.
generic/511	known_unsupported	#255	NOTRUN	xfs_io falloc -k failed (old kernel/wrong fs?)	SwordFS VfsImpl::Fallocate returns NotSupported for this allocation mode; tracked by #255.
generic/512	known_unsupported	#255	NOTRUN	xfs_io falloc failed (old kernel/wrong fs?)	SwordFS VfsImpl::Fallocate returns NotSupported for this allocation mode; tracked by #255.
